rider,dob,nationality,pob,current_team,weight,height,one_day_races,gc,tt,sprint,climber
Yenny Colmenares,1991-02-15,Colombia,Duitama,NA,NA,NA,29,20,218,188,75
Gracie Elvin,1988-10-31,Australia,Canberra,Mitchelton-Scott,63,1.75,704,173,333,1401,388
Marcela Prieto,1992-03-11,Mexico,NA,Agolico,NA,NA,78,188,325,272,395
Séverine Eraud,1995-02-24,France,NA,Charente-Maritime Women Cycling,NA,NA,76,42,535,319,454
Lourdes Oyarbide,1994-04-08,Spain,Eguino,Movistar Team,52,1.61,26,44,171,153,104
Kseniya Dobrynina,1994-01-11,Russia,NA,Servetto - Piumate - Beltrami TSA,NA,NA,48,50,536,143,140
Rushlee Buchanan,1988-01-20,New,Hamilton,NA,NA,NA,51,11,372,152,12
Ayustina Priatna,1997-12-12,Indonesia,NA,Thailand Women's Cycling Team,54,1.59,42,0,0,36,0
Idarys Cervantes,1997-04-22,Cuba,NA,NA,NA,NA,26,0,0,46,0
Agusta Edda Bjornsdóttir,1977-03-15,Iceland,NA,NA,NA,NA,25,0,6,0,0
Lonneke Uneken,2000-03-02,Netherlands,Winschoten,Boels - Dolmans Cycling Team,NA,NA,54,26,6,289,0
Viktoriia Melnychuk,1998-06-02,Ukraine,NA,NA,NA,NA,28,0,0,58,0
Ella Bloor,1995-04-03,Australia,NA,NA,NA,NA,16,0,0,36,0
Whitney Allison-Schultz,1988-03-01,United,NA,NA,NA,NA,3,13,218,16,190
Justine Barrow,1979-03-07,Australia,NA,Roxsolt Attaquer,NA,NA,37,8,3,40,151
Maëlle Grossetête,1998-04-10,France,Sallanches,FDJ Nouvelle Aquitaine Futuroscope,60,1.72,40,7,11,112,0
Kaya Cattouse,1990-12-12,Belize,NA,NA,NA,NA,41,0,8,18,0
Anna Henderson,1998-11-14,Great,NA,Team Sunweb,58,1.62,30,34,0,223,0
Laura Asencio,1998-05-14,France,NA,Ceratizit-WNT Pro Cycling,NA,NA,27,0,1,96,1
Jeniffer Alejandra Medellin,1995-12-03,Colombia,Fusagasuga,NA,NA,NA,7,22,101,98,79
Edwige Pitel,1967-06-04,France,Dinan,Cogeas - Mettler Pro Cycling Team,52,1.73,472,489,2691,785,2644
Elizabeth Holden,1997-09-12,Great,NA,Bizkaia Durango,NA,NA,13,8,38,105,97
Katie Hall,1987-01-06,United,Mercer Island,Boels - Dolmans Cycling Team,52,1.63,84,795,946,372,1627
Tetyana Riabchenko,1989-08-28,Ukraine,Zhitomerskaya,NA,57,1.72,330,201,366,430,1145
Jarmila Machacova,1986-01-09,Czech,NA,NA,NA,NA,84,6,310,143,148
Anastasiia Pliaskina,1996-02-21,Russia,NA,Eneicat - RBH Global,57,1.7,3,14,80,5,44
Wing Yee Leung,1996-10-29,Hongkong,NA,NA,NA,NA,57,30,9,98,61
Yixian Pu,1992-12-23,China,NA,China Liv Pro Cycling,NA,NA,78,42,5,201,0
Emilie Moberg,1991-07-12,Norway,Halden,Drops,56,1.59,378,290,162,1627,408
Kelly Druyts,1989-10-21,Belgium,Wilrijk,Chevalmeire Cycling Team,62,1.69,379,59,121,1834,411
Desiet Kidane,2000-10-10,Eritrea,NA,NA,NA,NA,25,0,0,7,0
Matilda Raynolds,1987-06-20,Australia,NA,NA,NA,NA,12,0,12,125,29
Jeanne Korevaar,1996-09-24,Netherlands,Groot-Ammers,CCC - Liv,59,1.78,71,54,238,445,215
Moniek Tenniglo,1988-05-02,Netherlands,Albergen,Mitchelton-Scott,64,1.84,49,74,510,237,240
Samah Khaled,1992-05-01,Jordan,NA,NA,NA,NA,0,16,1,84,0
Anna Nahirna,1988-09-30,Ukraine,NA,Lviv Cycling Team women,NA,NA,47,8,40,56,75
Coralie Demay,1992-10-10,France,NA,Charente-Maritime Women Cycling,NA,NA,40,100,517,128,21
Alexi Costa,1995-08-25,Trinidad,NA,NA,NA,NA,12,0,0,49,0
Nikola Nosková,1997-07-01,Czech,NA,Équipe Paule Ka,NA,1.57,167,55,83,190,536
Zanri Rossouw,1988-03-02,South,NA,NA,51,1.6,7,0,65,14,0
Kirsty Mccallum,1992-09-19,New,NA,NA,NA,NA,51,0,0,99,13
Jupha Somnet,1993-04-26,Malaysia,NA,NA,54,1.61,80,3,2,102,0
Qianyu Yang,1993-03-07,Hongkong,NA,NA,NA,NA,144,43,34,198,10
Kaat Hannes,1991-11-21,Belgium,Herentals,Doltcini - Van Eyck Sport,51,1.64,260,6,3,913,418
Leidy Natalia Muñoz,1985-06-04,Colombia,Andes,NA,NA,NA,29,28,35,125,16
Xi Sha Zhao,1992-09-28,China,NA,China Liv Pro Cycling,NA,NA,59,53,0,229,0
Flavia Oliveira,1981-10-27,Brazil,Rio de Janeiro,NA,43,1.57,445,325,773,743,1942
Shara Marche,1987-12-23,Australia,Nambour,FDJ Nouvelle Aquitaine Futuroscope,58,1.75,375,416,1867,622,1518
Sarah Gigante,2000-10-06,Australia,NA,Team TIBCO - SVB,NA,NA,45,21,42,75,33
Clara Copponi,1999-01-12,France,Aix-en-Provence,FDJ Nouvelle Aquitaine Futuroscope,55,1.65,59,0,10,204,0
Olena Sharga,1986-12-21,Ukraine,NA,Lviv Cycling Team women,NA,NA,203,19,238,488,511
Camila Andrea Valbuena,1997-02-18,Colombia,Bogotá,NA,NA,NA,0,38,170,66,68
Samara Sheppard,1990-06-25,New,NA,NA,NA,NA,30,7,0,62,0
Kirsten Wild,1982-10-15,Netherlands,Almelo,Ceratizit-WNT Pro Cycling,75,1.77,3758,1557,2157,9884,1400
Pascale Jeuland-Tranchant,1987-06-02,France,NA,NA,61,1.61,456,104,219,1699,541
Hanna Nilsson,1992-02-16,Sweden,NA,Parkhotel Valkenburg,NA,NA,156,134,89,293,862
Marta Lach,1997-05-26,Poland,NA,CCC - Liv,59,1.71,64,21,42,433,104
Jip van den Bos,1996-04-12,Netherlands,Oostknollendam,Boels - Dolmans Cycling Team,NA,NA,201,80,340,600,32
Ruby Roseman-Gannon,1998-11-08,Australia,NA,NA,NA,NA,22,14,0,89,0
Iraida Garcia,1989-05-26,Cuba,NA,NA,NA,NA,88,32,120,378,310
Vera Adrian,1993-10-28,Namibia,Windhoek,NA,57,1.68,200,0,70,64,16
Lotta Henttala,1989-06-28,Finland,Noormarkku,Trek-Segafredo Women,58,1.64,1223,125,1103,2367,129
Daria Malkova,2000-11-16,Russia,NA,Cogeas - Mettler Pro Cycling Team,NA,NA,56,8,1,162,0
Hayley Simmonds,1988-07-22,Great,Redditch,Ciclotel,NA,NA,12,39,370,110,94
Maroesjka Matthee,1989-01-10,South,NA,Ciclotel,NA,NA,142,0,0,81,58
