date,result,gc_result_on_stage,race,distance,pointspcs,pointsuci,stage,rider,team
2020-08-29,5,NA,La Course by Le Tour de France (1.WWT),96,25,180,One day,Annemiek van Vleuten,Mitchelton-Scott
2020-08-27,1,NA,European Continental Championships WE - Road Race (CC),109.2,80,150,One day,Annemiek van Vleuten,Mitchelton-Scott
2020-08-25,51,NA,GP de Plouay - Lorient Agglomération Trophée WNT (1.WWT),101.1,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2020-08-22,2,NA,National Championships Netherlands WE - Road Race (NC),124,7,75,One day,Annemiek van Vleuten,Mitchelton-Scott
2020-08-01,1,NA,Strade Bianche WE (1.WWT),136,100,400,One day,Annemiek van Vleuten,Mitchelton-Scott
2020-07-26,1,NA,Durango-Durango Emakumeen Saria (1.1),113,80,125,One day,Annemiek van Vleuten,Mitchelton-Scott
2020-07-24,1,NA,Clasica Femenina Navarra (1.1),122.9,80,125,One day,Annemiek van Vleuten,Mitchelton-Scott
2020-07-23,1,NA,Emakumeen Nafarroako Klasikoa (1.1),118.3,80,125,One day,Annemiek van Vleuten,Mitchelton-Scott
2020-02-29,1,NA,Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite (1.1),122.9,80,125,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-09-28,1,NA,World Championships WE - Road Race (WC),149.4,200,250,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-09-24,3,NA,World Championships WE - ITT (WC),30.3,40,70,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-09-03,1,1,Prologue - Sittard-Geleen › Sittard-Geleen,3.8,30,25,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-08-03,16,NA,Donostia San Sebastian Klasikoa (1.1),126.7,NA,3,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-07-19,7,NA,La Course by Le Tour de France (1.WWT),121,15,60,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-06-29,4,NA,National Championships Netherlands WE - Road Race (NC),122.6,3,15,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-06-26,1,NA,National Championships Netherlands WE - ITT (NC),31.8,3,25,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-05-20,12,NA,Durango-Durango Emakumeen Saria (1.2),113,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-04-28,1,NA,Liège-Bastogne-Liège Femmes (1.WWT),138.5,100,200,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-04-24,2,NA,La Flèche Wallonne Féminine (1.WWT),118.5,70,150,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-04-21,2,NA,Amstel Gold Race Ladies Edition (1.WWT),126.8,70,150,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-04-07,2,NA,Ronde van Vlaanderen - Tour des Flandres WE (1.WWT),159.2,70,150,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-04-03,7,NA,Dwars door Vlaanderen / A travers la Flandre WE (1.1),106,12,35,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-03-09,1,NA,Strade Bianche WE (1.WWT),136,100,200,One day,Annemiek van Vleuten,Mitchelton-Scott
2019-03-02,4,NA,Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite (1.1),122.9,24,60,One day,Annemiek van Vleuten,Mitchelton-Scott
NA,9,NA,Boels Ladies Tour (2.WWT),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,11,NA,Boels Ladies Tour (2.WWT),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,6,NA,Boels Ladies Tour (2.WWT),NA,60,70,General classification,Annemiek van Vleuten,Mitchelton-Scott
2019-09-08,36,NA,Boels Ladies Tour (2.WWT),154.8,NA,NA,Stage 5 - Nijmegen › Arnhem,Annemiek van Vleuten,Mitchelton-Scott
2019-09-07,18,6,Boels Ladies Tour (2.WWT),135.6,NA,NA,Stage 4 - Arnhem › Nijmegen,Annemiek van Vleuten,Mitchelton-Scott
2019-09-06,23,5,Boels Ladies Tour (2.WWT),156.8,NA,NA,Stage 3 - Nijverdal › Nijverdal,Annemiek van Vleuten,Mitchelton-Scott
2019-09-05,35,2,Boels Ladies Tour (2.WWT),113.7,NA,NA,Stage 2 - Gennep › Gennep,Annemiek van Vleuten,Mitchelton-Scott
2019-09-04,29,1,Boels Ladies Tour (2.WWT),123,NA,NA,Stage 1 - Stramproy › Weert,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,150,200,General classification,Annemiek van Vleuten,Mitchelton-Scott
2019-07-14,21,NA,Giro d'Italia Internazionale Femminile (2.WWT),120,NA,NA,Stage 10 - San Vito al Tagliamento › Udine,Annemiek van Vleuten,Mitchelton-Scott
2019-07-13,2,1,Giro d'Italia Internazionale Femminile (2.WWT),125.5,18,20,Stage 9 - Gemona › Chiusaforte/Malga Montasio,Annemiek van Vleuten,Mitchelton-Scott
2019-07-12,24,1,Giro d'Italia Internazionale Femminile (2.WWT),133.3,NA,NA,Stage 8 - Vittorio Veneto › Maniago,Annemiek van Vleuten,Mitchelton-Scott
2019-07-11,4,1,Giro d'Italia Internazionale Femminile (2.WWT),131.5,7,16,Stage 7 - Cornedo Vicentino › San Giorgio di Perlena/Fara Vicentino,Annemiek van Vleuten,Mitchelton-Scott
2019-07-10,1,1,Giro d'Italia Internazionale Femminile (2.WWT),12.1,30,25,Stage 6 (ITT) - Chiuro › Teglio,Annemiek van Vleuten,Mitchelton-Scott
2019-07-09,1,1,Giro d'Italia Internazionale Femminile (2.WWT),88.8,30,25,Stage 5 - Ponte in Valtellina › Lago di Cancano,Annemiek van Vleuten,Mitchelton-Scott
2019-07-08,7,7,Giro d'Italia Internazionale Femminile (2.WWT),100.1,2,10,Stage 4 - Lissone ›  Carate Brianza,Annemiek van Vleuten,Mitchelton-Scott
2019-07-07,4,7,Giro d'Italia Internazionale Femminile (2.WWT),104.1,7,16,Stage 3 - Sagliano Micca › Piedicavallo,Annemiek van Vleuten,Mitchelton-Scott
2019-07-06,2,7,Giro d'Italia Internazionale Femminile (2.WWT),76.3,18,20,Stage 2 - Viù › Viù,Annemiek van Vleuten,Mitchelton-Scott
2019-07-05,4,14,Giro d'Italia Internazionale Femminile (2.WWT),18,7.5,2.7,Stage 1 (TTT) - Cassano Spinola › Castellania,Annemiek van Vleuten,Mitchelton-Scott
NA,3,NA,WWT Emakumeen XXXII.Bira (2.WWT),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,7,NA,WWT Emakumeen XXXII.Bira (2.WWT),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,6,NA,WWT Emakumeen XXXII.Bira (2.WWT),NA,60,70,General classification,Annemiek van Vleuten,Mitchelton-Scott
2019-05-25,15,NA,WWT Emakumeen XXXII.Bira (2.WWT),155.8,NA,NA,Stage 4 - Oñati › Oñati,Annemiek van Vleuten,Mitchelton-Scott
2019-05-24,4,5,WWT Emakumeen XXXII.Bira (2.WWT),97.6,7,16,Stage 3 - Murgia › Santa Teodosia,Annemiek van Vleuten,Mitchelton-Scott
2019-05-23,6,5,WWT Emakumeen XXXII.Bira (2.WWT),110.8,3,12,Stage 2 - Aduna › Amasa,Annemiek van Vleuten,Mitchelton-Scott
2019-05-22,17,6,WWT Emakumeen XXXII.Bira (2.WWT),101,NA,NA,Stage 1 - Iurreta › Iurreta,Annemiek van Vleuten,Mitchelton-Scott
NA,6,NA,ASDA Tour de Yorkshire Women's Race (2.1),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,19,NA,ASDA Tour de Yorkshire Women's Race (2.1),NA,NA,3,General classification,Annemiek van Vleuten,Mitchelton-Scott
2019-05-04,26,NA,ASDA Tour de Yorkshire Women's Race (2.1),132,NA,NA,Stage 2 - Bridlington › Scarborough,Annemiek van Vleuten,Mitchelton-Scott
2019-05-03,26,29,ASDA Tour de Yorkshire Women's Race (2.1),132,NA,NA,Stage 1 - Barnsley › Bedale,Annemiek van Vleuten,Mitchelton-Scott
2018-09-29,7,NA,World Championships WE - Road Race (WC),155.6,100,80,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-09-25,1,NA,World Championships WE - ITT (WC),27.7,100,125,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-08-28,1,1,Prologue - Arnhem › Arnhem,3.3,30,25,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-08-22,1,NA,Veenendaal Veenendaal Classic WE (1.1),136.8,80,125,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-08-16,2,NA,Ladies Tour of Norway - TTT (1.WWT),24.3,18,25,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-07-17,1,NA,La Course by Le Tour de France (1.WWT),112.5,100,200,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-06-30,6,NA,National Championships Netherlands WE - Road Race (NC),141.1,NA,5,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-06-27,4,NA,National Championships Netherlands WE - ITT (NC),25.8,NA,5,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-05-17,2,NA,Durango-Durango Emakumeen Saria (1.2),121,30,30,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-04-22,3,NA,Liège-Bastogne-Liège Femmes (1.WWT),118.5,40,125,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-04-18,4,NA,La Flèche Wallonne Féminine (1.WWT),118.8,30,100,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-04-15,15,NA,Amstel Gold Race Ladies Edition (1.WWT),116.9,3,10,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-04-01,3,NA,Ronde van Vlaanderen / Tour des Flandres WE (1.WWT),153.3,40,125,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-03-28,5,NA,Dwars door Vlaanderen / A travers la Flandre WE (1.1),118,20,50,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-03-25,63,NA,Gent-Wevelgem In Flanders Fields WE (1.WWT),142.6,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-02-24,36,NA,Omloop Het Nieuwsblad WE (1.1),122.1,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2018-01-27,22,NA,Cadel Evans Great Ocean Road Race (1.1),113.3,NA,3,One day,Annemiek van Vleuten,Mitchelton-Scott
NA,3,NA,Boels Ladies Tour (2.WWT),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,1,NA,Boels Ladies Tour (2.WWT),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
